DbtrAcct_Id,CdtrAcct_Id,UltmtDbtr_Id,UltmtCdtr_Id,IntrBkSttlmAmt,Ccy,IntrBkSttlmDt,SttlmMtd,Dbtr_Nm,Cdtr_Nm,UltmtDbtr_Nm,UltmtCdtr_Nm,Dbtr_Ctry,Cdtr_Ctry,Dbtr_Industry,Cdtr_Industry,Dbtr_SubIndustry,Cdtr_SubIndustry,risk_label,geo_label,expense_label,recurrence_label,group_id
7I8H0BY5,ZC2QQHM0,F52K9X,6JKRGS,6992.59,PHP,2023-10-15,INGA,Vertex Pte Travel,Lumen PLC Travel Ops,Vertex Pte,Lumen PLC Travel,PH,JP,Energy,Financial,Utilities,Banks,Low,Asia,Other,No,3
7I8H0BY5,074M5DH5,F52K9X,6MYFNL,108464.56,PHP,2023-03-01,CLRG,Vertex Pte Travel,Lumen Inc Services Sales,Vertex Pte,Lumen Inc Services,PH,BR,Energy,Technology,Utilities,Software,Medium,International,Technology,No,4
7I8H0BY5,074M5DH5,F52K9X,6MYFNL,126917.72,PHP,2023-03-23,INGA,Vertex Pte Travel,Lumen Inc Services Sales,Vertex Pte,Lumen Inc Services,PH,BR,Energy,Technology,Utilities,Software,Medium,International,Technology,No,4
7I8H0BY5,PLFKK9NM,F52K9X,ZS02VP,5816.27,PHP,2023-02-27,CLRG,Vertex Pte Travel,Cardinal Inc Holdings Holdings,Vertex Pte,Cardinal Inc Holdings,PH,BR,Energy,Consumer,Utilities,Apparel,Low,International,Operational,No,5
7I8H0BY5,PLFKK9NM,F52K9X,ZS02VP,2747.09,PHP,2023-03-24,CLRG,Vertex Pte Travel,Cardinal Inc Holdings Holdings,Vertex Pte,Cardinal Inc Holdings,PH,BR,Energy,Consumer,Utilities,Apparel,Low,International,Operational,No,5
7I8H0BY5,PLFKK9NM,F52K9X,ZS02VP,4645.76,PHP,2023-02-12,INDA,Vertex Pte Travel,Cardinal Inc Holdings Holdings,Vertex Pte,Cardinal Inc Holdings,PH,BR,Energy,Consumer,Utilities,Apparel,Low,International,Operational,No,5
7I8H0BY5,PLFKK9NM,F52K9X,ZS02VP,2448.21,PHP,2023-02-06,CLRG,Vertex Pte Travel,Cardinal Inc Holdings Holdings,Vertex Pte,Cardinal Inc Holdings,PH,BR,Energy,Consumer,Utilities,Apparel,Low,International,Operational,No,5
7I8H0BY5,PLFKK9NM,F52K9X,ZS02VP,2970.53,PHP,2023-03-04,INGA,Vertex Pte Travel,Cardinal Inc Holdings Holdings,Vertex Pte,Cardinal Inc Holdings,PH,BR,Energy,Consumer,Utilities,Apparel,Low,International,Operational,No,5
7I8H0BY5,PLFKK9NM,F52K9X,ZS02VP,2445.49,PHP,2023-02-20,INDA,Vertex Pte Travel,Cardinal Inc Holdings Holdings,Vertex Pte,Cardinal Inc Holdings,PH,BR,Energy,Consumer,Utilities,Apparel,Low,International,Operational,No,5
7I8H0BY5,PLFKK9NM,F52K9X,ZS02VP,2409.59,PHP,2023-02-19,COVE,Vertex Pte Travel,Cardinal Inc Holdings Holdings,Vertex Pte,Cardinal Inc Holdings,PH,BR,Energy,Consumer,Utilities,Apparel,Low,International,Operational,No,5
7I8H0BY5,PLFKK9NM,F52K9X,ZS02VP,3474.34,PHP,2023-04-05,OnUs,Vertex Pte Travel,Cardinal Inc Holdings Holdings,Vertex Pte,Cardinal Inc Holdings,PH,BR,Energy,Consumer,Utilities,Apparel,Low,International,Operational,No,5
7I8H0BY5,MEE2670F,F52K9X,J3YTRN,8585.13,PHP,2023-09-26,INDA,Vertex Pte Travel,Apex Inc Services Ops,Vertex Pte,Apex Inc Services,PH,GB,Energy,Communications,Utilities,Telecom,Medium,International,Operational,No,6
7I8H0BY5,X98CUNE2,F52K9X,8S0Y4C,17526.12,PHP,2023-04-12,INDA,Vertex Pte Travel,Granite LLC Holdings Trading,Vertex Pte,Granite LLC Holdings,PH,SG,Energy,Technology,Utilities,Hardware,Medium,Asia,Technology,No,7
7I8H0BY5,ST80J23Y,F52K9X,8A5WR2,1409.12,PHP,2023-09-11,INGA,Vertex Pte Travel,Apex GmbH Sales Capital,Vertex Pte,Apex GmbH Sales,PH,BR,Energy,Energy,Utilities,Oil,Low,International,Capital,No,8
7I8H0BY5,ST80J23Y,F52K9X,8A5WR2,1861.96,PHP,2023-10-08,INDA,Vertex Pte Travel,Apex GmbH Sales Capital,Vertex Pte,Apex GmbH Sales,PH,BR,Energy,Energy,Utilities,Oil,Low,International,Capital,No,8
7I8H0BY5,ADEYWHDJ,F52K9X,VZ6AVI,38614.57,PHP,2023-06-06,INGA,Vertex Pte Travel,Acme Pte Capital Travel,Vertex Pte,Acme Pte Capital,PH,IN,Energy,Technology,Utilities,Software,Medium,Asia,Technology,No,9
FBDLOLQZ,PHW5J5CW,TDN8TA,J3YTRN,5183.55,GBP,2023-05-22,COVE,Granite SA Holdings Travel,Apex Inc Services Holdings,Granite SA Holdings,Apex Inc Services,GB,GB,Communications,Communications,Media,Telecom,Low,EMEA,Operational,No,10
FBDLOLQZ,A9KBZKP8,TDN8TA,J3YTRN,10296.14,GBP,2023-10-12,COVE,Granite SA Holdings Travel,Apex Inc Services Trading,Granite SA Holdings,Apex Inc Services,GB,GB,Communications,Communications,Media,Telecom,Low,EMEA,Operational,No,11
XSESXP78,ZHEF69DZ,5569L2,13EP3J,23514.22,CAD,2023-11-05,OnUs,Northwind Pte Holdings,Northwind Pte Services Sales,Northwind Pte,Northwind Pte Services,CA,DE,Industrials,Financial,Logistics,Banks,Low,International,Other,No,12
XSESXP78,ZHEF69DZ,5569L2,13EP3J,36739.5,CAD,2023-11-23,INDA,Northwind Pte Holdings,Northwind Pte Services Sales,Northwind Pte,Northwind Pte Services,CA,DE,Industrials,Financial,Logistics,Banks,Low,International,Other,No,12
XSESXP78,ZHEF69DZ,5569L2,13EP3J,14245.8,CAD,2023-10-24,Swift,Northwind Pte Holdings,Northwind Pte Services Sales,Northwind Pte,Northwind Pte Services,CA,DE,Industrials,Financial,Logistics,Banks,Low,International,Other,No,12
XSESXP78,ZHEF69DZ,5569L2,13EP3J,10586.38,CAD,2023-10-31,Local,Northwind Pte Holdings,Northwind Pte Services Sales,Northwind Pte,Northwind Pte Services,CA,DE,Industrials,Financial,Logistics,Banks,Low,International,Other,No,12
XSESXP78,ZHEF69DZ,5569L2,13EP3J,18776.25,CAD,2023-12-19,CLRG,Northwind Pte Holdings,Northwind Pte Services Sales,Northwind Pte,Northwind Pte Services,CA,DE,Industrials,Financial,Logistics,Banks,Low,International,Other,No,12
XSESXP78,ZHEF69DZ,5569L2,13EP3J,18379.11,CAD,2023-09-14,CLRG,Northwind Pte Holdings,Northwind Pte Services Sales,Northwind Pte,Northwind Pte Services,CA,DE,Industrials,Financial,Logistics,Banks,Low,International,Other,No,12
XSESXP78,ZHEF69DZ,5569L2,13EP3J,13508.92,CAD,2023-10-28,INGA,Northwind Pte Holdings,Northwind Pte Services Sales,Northwind Pte,Northwind Pte Services,CA,DE,Industrials,Financial,Logistics,Banks,Low,International,Other,No,12
XKQRABZY,YUINXNNJ,I67OEA,3FR31Y,8556.79,AED,2023-01-30,INDA,Apex SA Services Travel,Meridian SA Holdings Capital,Apex SA Services,Meridian SA Holdings,AE,GB,Consumer,Consumer,Food,Food,Low,EMEA,Operational,No,13
XKQRABZY,YUINXNNJ,I67OEA,3FR31Y,9841.06,AED,2023-01-05,INDA,Apex SA Services Travel,Meridian SA Holdings Capital,Apex SA Services,Meridian SA Holdings,AE,GB,Consumer,Consumer,Food,Food,Low,EMEA,Operational,No,13
679NW1X2,7K58HAAG,6JKRGS,6JKRGS,1000.22,JPY,2023-01-06,CLRG,Lumen PLC Travel Capital,Lumen PLC Travel Holdings,Lumen PLC Travel,Lumen PLC Travel,JP,JP,Financial,Financial,Banks,Banks,Low,Asia,Other,No,14
679NW1X2,7K58HAAG,6JKRGS,6JKRGS,744.04,JPY,2023-01-28,COVE,Lumen PLC Travel Capital,Lumen PLC Travel Holdings,Lumen PLC Travel,Lumen PLC Travel,JP,JP,Financial,Financial,Banks,Banks,Low,Asia,Other,No,14
679NW1X2,7K58HAAG,6JKRGS,6JKRGS,1806.66,JPY,2023-01-06,OnUs,Lumen PLC Travel Capital,Lumen PLC Travel Holdings,Lumen PLC Travel,Lumen PLC Travel,JP,JP,Financial,Financial,Banks,Banks,Low,Asia,Other,No,14
679NW1X2,7K58HAAG,6JKRGS,6JKRGS,576.39,JPY,2023-01-01,CLRG,Lumen PLC Travel Capital,Lumen PLC Travel Holdings,Lumen PLC Travel,Lumen PLC Travel,JP,JP,Financial,Financial,Banks,Banks,Low,Asia,Other,No,14
GBQHK634,R82B2S5V,LZEW78,0J1HG9,36215.48,BRL,2023-03-15,COVE,Northwind Inc Capital Capital,Solstice Inc Trading Travel,Northwind Inc Capital,Solstice Inc Trading,BR,JP,Industrials,Consumer,Construction,Retail,Low,International,Operational,No,15
GBQHK634,R82B2S5V,LZEW78,0J1HG9,19638.73,BRL,2023-03-26,INDA,Northwind Inc Capital Capital,Solstice Inc Trading Travel,Northwind Inc Capital,Solstice Inc Trading,BR,JP,Industrials,Consumer,Construction,Retail,Low,International,Operational,No,15
GBQHK634,R82B2S5V,LZEW78,0J1HG9,61439.08,BRL,2023-02-12,INGA,Northwind Inc Capital Capital,Solstice Inc Trading Travel,Northwind Inc Capital,Solstice Inc Trading,BR,JP,Industrials,Consumer,Construction,Retail,Low,International,Operational,No,15
GBQHK634,VVT4DO9J,LZEW78,V53MRY,3608.3,BRL,2023-08-17,INGA,Northwind Inc Capital Capital,Harbor GmbH Sales Ops,Northwind Inc Capital,Harbor GmbH Sales,BR,FR,Industrials,Financial,Construction,Banks,Low,International,Other,Yes,16
GBQHK634,VVT4DO9J,LZEW78,V53MRY,4107.2,BRL,2023-08-24,INGA,Northwind Inc Capital Capital,Harbor GmbH Sales Ops,Northwind Inc Capital,Harbor GmbH Sales,BR,FR,Industrials,Financial,Construction,Banks,Low,International,Other,Yes,16
GBQHK634,VVT4DO9J,LZEW78,V53MRY,3721.09,BRL,2023-08-31,OnUs,Northwind Inc Capital Capital,Harbor GmbH Sales Ops,Northwind Inc Capital,Harbor GmbH Sales,BR,FR,Industrials,Financial,Construction,Banks,Low,International,Other,Yes,16
GBQHK634,H6VYLBAX,LZEW78,6JKRGS,2274.16,BRL,2023-11-15,INGA,Northwind Inc Capital Capital,Lumen PLC Travel Ops,Northwind Inc Capital,Lumen PLC Travel,BR,JP,Industrials,Financial,Construction,Banks,Low,International,Other,Yes,17
GBQHK634,H6VYLBAX,LZEW78,6JKRGS,2528.46,BRL,2023-11-22,INDA,Northwind Inc Capital Capital,Lumen PLC Travel Ops,Northwind Inc Capital,Lumen PLC Travel,BR,JP,Industrials,Financial,Construction,Banks,Low,International,Other,Yes,17
GBQHK634,H6VYLBAX,LZEW78,6JKRGS,2428.18,BRL,2023-11-29,OnUs,Northwind Inc Capital Capital,Lumen PLC Travel Ops,Northwind Inc Capital,Lumen PLC Travel,BR,JP,Industrials,Financial,Construction,Banks,Low,International,Other,Yes,17
GBQHK634,P2ZPUBOQ,LZEW78,051MED,30431.93,BRL,2023-07-28,COVE,Northwind Inc Capital Capital,Solstice Ltd Services Holdings,Northwind Inc Capital,Solstice Ltd Services,BR,AE,Industrials,Consumer,Construction,Retail,Low,International,Operational,No,18
GBQHK634,P2ZPUBOQ,LZEW78,051MED,13082.45,BRL,2023-07-19,INGA,Northwind Inc Capital Capital,Solstice Ltd Services Holdings,Northwind Inc Capital,Solstice Ltd Services,BR,AE,Industrials,Consumer,Construction,Retail,Low,International,Operational,No,18
GBQHK634,P2ZPUBOQ,LZEW78,051MED,12626.24,BRL,2023-08-26,CLRG,Northwind Inc Capital Capital,Solstice Ltd Services Holdings,Northwind Inc Capital,Solstice Ltd Services,BR,AE,Industrials,Consumer,Construction,Retail,Low,International,Operational,No,18
GBQHK634,P2ZPUBOQ,LZEW78,051MED,25888.15,BRL,2023-08-03,CLRG,Northwind Inc Capital Capital,Solstice Ltd Services Holdings,Northwind Inc Capital,Solstice Ltd Services,BR,AE,Industrials,Consumer,Construction,Retail,Low,International,Operational,No,18
GBQHK634,7I8H0BY5,LZEW78,F52K9X,5394.91,BRL,2023-08-05,CLRG,Northwind Inc Capital Capital,Vertex Pte Travel,Northwind Inc Capital,Vertex Pte,BR,PH,Industrials,Energy,Construction,Utilities,Low,International,Capital,No,19
GBQHK634,7I8H0BY5,LZEW78,F52K9X,5503.64,BRL,2023-09-10,COVE,Northwind Inc Capital Capital,Vertex Pte Travel,Northwind Inc Capital,Vertex Pte,BR,PH,Industrials,Energy,Construction,Utilities,Low,International,Capital,No,19
GBQHK634,7I8H0BY5,LZEW78,F52K9X,4047.47,BRL,2023-08-20,INGA,Northwind Inc Capital Capital,Vertex Pte Travel,Northwind Inc Capital,Vertex Pte,BR,PH,Industrials,Energy,Construction,Utilities,Medium,International,Capital,No,19
GBQHK634,2PUQEGTC,LZEW78,J3YTRN,1399.72,BRL,2023-07-07,CLRG,Northwind Inc Capital Capital,Apex Inc Services Capital,Northwind Inc Capital,Apex Inc Services,BR,GB,Industrials,Communications,Construction,Telecom,Low,International,Operational,No,20
GBQHK634,2PUQEGTC,LZEW78,J3YTRN,2456.84,BRL,2023-09-03,Swift,Northwind Inc Capital Capital,Apex Inc Services Capital,Northwind Inc Capital,Apex Inc Services,BR,GB,Industrials,Communications,Construction,Telecom,Low,International,Operational,No,20
GBQHK634,2PUQEGTC,LZEW78,J3YTRN,1114.35,BRL,2023-07-25,INDA,Northwind Inc Capital Capital,Apex Inc Services Capital,Northwind Inc Capital,Apex Inc Services,BR,GB,Industrials,Communications,Construction,Telecom,Low,International,Operational,No,20
GBQHK634,2PUQEGTC,LZEW78,J3YTRN,2465.83,BRL,2023-08-06,INDA,Northwind Inc Capital Capital,Apex Inc Services Capital,Northwind Inc Capital,Apex Inc Services,BR,GB,Industrials,Communications,Construction,Telecom,Low,International,Operational,No,20
GBQHK634,2PUQEGTC,LZEW78,J3YTRN,3603.35,BRL,2023-07-19,INGA,Northwind Inc Capital Capital,Apex Inc Services Capital,Northwind Inc Capital,Apex Inc Services,BR,GB,Industrials,Communications,Construction,Telecom,Low,International,Operational,No,20
GBQHK634,2PUQEGTC,LZEW78,J3YTRN,2011.33,BRL,2023-07-05,OnUs,Northwind Inc Capital Capital,Apex Inc Services Capital,Northwind Inc Capital,Apex Inc Services,BR,GB,Industrials,Communications,Construction,Telecom,Low,International,Operational,No,20
GBQHK634,2PUQEGTC,LZEW78,J3YTRN,3744.3,BRL,2023-07-16,CLRG,Northwind Inc Capital Capital,Apex Inc Services Capital,Northwind Inc Capital,Apex Inc Services,BR,GB,Industrials,Communications,Construction,Telecom,Low,International,Operational,No,20
GBQHK634,G9JTQMGC,LZEW78,051MED,14992.6,BRL,2023-08-12,INDA,Northwind Inc Capital Capital,Solstice Ltd Services Trading,Northwind Inc Capital,Solstice Ltd Services,BR,AE,Industrials,Consumer,Construction,Retail,Low,International,Operational,No,21
GBQHK634,XSC5OHWK,LZEW78,8S0Y4C,66886.92,BRL,2023-03-30,INGA,Northwind Inc Capital Capital,Granite LLC Holdings Capital,Northwind Inc Capital,Granite LLC Holdings,BR,SG,Industrials,Technology,Construction,Hardware,Low,International,Technology,No,22
GBQHK634,XSC5OHWK,LZEW78,8S0Y4C,56080.68,BRL,2023-04-05,Swift,Northwind Inc Capital Capital,Granite LLC Holdings Capital,Northwind Inc Capital,Granite LLC Holdings,BR,SG,Industrials,Technology,Construction,Hardware,Low,International,Technology,No,22
GBQHK634,XSC5OHWK,LZEW78,8S0Y4C,37688.68,BRL,2023-04-29,OnUs,Northwind Inc Capital Capital,Granite LLC Holdings Capital,Northwind Inc Capital,Granite LLC Holdings,BR,SG,Industrials,Technology,Construction,Hardware,Low,International,Technology,No,22
GBQHK634,XSC5OHWK,LZEW78,8S0Y4C,31234.44,BRL,2023-04-28,COVE,Northwind Inc Capital Capital,Granite LLC Holdings Capital,Northwind Inc Capital,Granite LLC Holdings,BR,SG,Industrials,Technology,Construction,Hardware,Low,International,Technology,No,22
GBQHK634,DN0WEYN2,LZEW78,7W8QZW,8755.62,BRL,2024-01-01,CLRG,Northwind Inc Capital Capital,Lumen Pte Services Ops,Northwind Inc Capital,Lumen Pte Services,BR,JP,Industrials,Technology,Construction,Hardware,Low,International,Technology,No,23
GBQHK634,DN0WEYN2,LZEW78,7W8QZW,8128.31,BRL,2024-01-01,Swift,Northwind Inc Capital Capital,Lumen Pte Services Ops,Northwind Inc Capital,Lumen Pte Services,BR,JP,Industrials,Technology,Construction,Hardware,Low,International,Technology,No,23
GBQHK634,DN0WEYN2,LZEW78,7W8QZW,5798.57,BRL,2024-01-01,COVE,Northwind Inc Capital Capital,Lumen Pte Services Ops,Northwind Inc Capital,Lumen Pte Services,BR,JP,Industrials,Technology,Construction,Hardware,Low,International,Technology,No,23
GBQHK634,DN0WEYN2,LZEW78,7W8QZW,3869.97,BRL,2024-01-01,INGA,Northwind Inc Capital Capital,Lumen Pte Services Ops,Northwind Inc Capital,Lumen Pte Services,BR,JP,Industrials,Technology,Construction,Hardware,Low,International,Technology,No,23
GBQHK634,DN0WEYN2,LZEW78,7W8QZW,7704.9,BRL,2023-12-19,COVE,Northwind Inc Capital Capital,Lumen Pte Services Ops,Northwind Inc Capital,Lumen Pte Services,BR,JP,Industrials,Technology,Construction,Hardware,Low,International,Technology,No,23
74L2Z6OW,J02X0LCT,J3YTRN,V53MRY,13023.67,GBP,2023-08-15,COVE,Apex Inc Services Ops,Harbor GmbH Sales Sales,Apex Inc Services,Harbor GmbH Sales,GB,FR,Communications,Financial,Telecom,Banks,Medium,EMEA,Other,No,24
74L2Z6OW,XICO0ISE,J3YTRN,TDN8TA,10033.02,GBP,2023-11-08,INGA,Apex Inc Services Ops,Granite SA Holdings Holdings,Apex Inc Services,Granite SA Holdings,GB,GB,Communications,Communications,Telecom,Media,Low,EMEA,Operational,No,25
74L2Z6OW,XICO0ISE,J3YTRN,TDN8TA,11242.02,GBP,2023-11-09,OnUs,Apex Inc Services Ops,Granite SA Holdings Holdings,Apex Inc Services,Granite SA Holdings,GB,GB,Communications,Communications,Telecom,Media,Low,EMEA,Operational,No,25
74L2Z6OW,XICO0ISE,J3YTRN,TDN8TA,6698.21,GBP,2023-12-21,INGA,Apex Inc Services Ops,Granite SA Holdings Holdings,Apex Inc Services,Granite SA Holdings,GB,GB,Communications,Communications,Telecom,Media,Low,EMEA,Operational,No,25
74L2Z6OW,0CIS713G,J3YTRN,ESE4EX,2574.07,GBP,2023-11-26,COVE,Apex Inc Services Ops,Plantations SA Travel,Apex Inc Services,Plantations SA,GB,PH,Communications,Energy,Telecom,Oil,Low,International,Capital,No,26
74L2Z6OW,0CIS713G,J3YTRN,ESE4EX,1567.11,GBP,2023-11-13,INGA,Apex Inc Services Ops,Plantations SA Travel,Apex Inc Services,Plantations SA,GB,PH,Communications,Energy,Telecom,Oil,Low,International,Capital,No,26
74L2Z6OW,0CIS713G,J3YTRN,ESE4EX,3353.3,GBP,2023-11-14,Local,Apex Inc Services Ops,Plantations SA Travel,Apex Inc Services,Plantations SA,GB,PH,Communications,Energy,Telecom,Oil,Medium,International,Capital,No,26
74L2Z6OW,0CIS713G,J3YTRN,ESE4EX,3166.03,GBP,2023-12-04,COVE,Apex Inc Services Ops,Plantations SA Travel,Apex Inc Services,Plantations SA,GB,PH,Communications,Energy,Telecom,Oil,Medium,International,Capital,No,26
74L2Z6OW,P3HQD1DS,J3YTRN,I67OEA,15728.1,GBP,2023-04-20,COVE,Apex Inc Services Ops,Apex SA Services Holdings,Apex Inc Services,Apex SA Services,GB,AE,Communications,Consumer,Telecom,Food,Low,EMEA,Operational,Yes,27
74L2Z6OW,P3HQD1DS,J3YTRN,I67OEA,15712.63,GBP,2023-04-27,INGA,Apex Inc Services Ops,Apex SA Services Holdings,Apex Inc Services,Apex SA Services,GB,AE,Communications,Consumer,Telecom,Food,Low,EMEA,Operational,Yes,27
74L2Z6OW,P3HQD1DS,J3YTRN,I67OEA,15180.73,GBP,2023-05-04,INDA,Apex Inc Services Ops,Apex SA Services Holdings,Apex Inc Services,Apex SA Services,GB,AE,Communications,Consumer,Telecom,Food,Low,EMEA,Operational,Yes,27
74L2Z6OW,P3HQD1DS,J3YTRN,I67OEA,14513.3,GBP,2023-05-11,COVE,Apex Inc Services Ops,Apex SA Services Holdings,Apex Inc Services,Apex SA Services,GB,AE,Communications,Consumer,Telecom,Food,Low,EMEA,Operational,Yes,27
74L2Z6OW,P3HQD1DS,J3YTRN,I67OEA,15633.34,GBP,2023-05-18,INDA,Apex Inc Services Ops,Apex SA Services Holdings,Apex Inc Services,Apex SA Services,GB,AE,Communications,Consumer,Telecom,Food,Low,EMEA,Operational,Yes,27
74L2Z6OW,RFRFHK8B,J3YTRN,13EP3J,1336.51,GBP,2023-09-20,Local,Apex Inc Services Ops,Northwind Pte Services Ops,Apex Inc Services,Northwind Pte Services,GB,DE,Communications,Financial,Telecom,Banks,Medium,EMEA,Other,Yes,28
74L2Z6OW,RFRFHK8B,J3YTRN,13EP3J,1331.32,GBP,2023-09-27,INGA,Apex Inc Services Ops,Northwind Pte Services Ops,Apex Inc Services,Northwind Pte Services,GB,DE,Communications,Financial,Telecom,Banks,Medium,EMEA,Other,Yes,28
74L2Z6OW,RFRFHK8B,J3YTRN,13EP3J,1308.69,GBP,2023-10-04,Local,Apex Inc Services Ops,Northwind Pte Services Ops,Apex Inc Services,Northwind Pte Services,GB,DE,Communications,Financial,Telecom,Banks,Medium,EMEA,Other,Yes,28
74L2Z6OW,RFRFHK8B,J3YTRN,13EP3J,1347.58,GBP,2023-10-11,INGA,Apex Inc Services Ops,Northwind Pte Services Ops,Apex Inc Services,Northwind Pte Services,GB,DE,Communications,Financial,Telecom,Banks,Low,EMEA,Other,Yes,28
74L2Z6OW,FBDLOLQZ,J3YTRN,TDN8TA,1038.3,GBP,2023-11-28,COVE,Apex Inc Services Ops,Granite SA Holdings Travel,Apex Inc Services,Granite SA Holdings,GB,GB,Communications,Communications,Telecom,Media,Low,EMEA,Operational,No,29
74L2Z6OW,FBDLOLQZ,J3YTRN,TDN8TA,3129.02,GBP,2023-12-08,OnUs,Apex Inc Services Ops,Granite SA Holdings Travel,Apex Inc Services,Granite SA Holdings,GB,GB,Communications,Communications,Telecom,Media,Low,EMEA,Operational,No,29
1ZYEAZIC,ARGQN53K,YMPB56,KJ22KK,788.32,EUR,2023-04-20,INGA,Northwind Pte Services Trading,Lumen Pte Sales Trading,Northwind Pte Services,Lumen Pte Sales,DE,FR,Financial,Financial,Banks,Banks,Medium,EMEA,Other,No,30
1ZYEAZIC,A1T0N5S9,YMPB56,TJCOPG,6873.7,EUR,2023-09-16,INGA,Northwind Pte Services Trading,Solstice Inc Sales Holdings,Northwind Pte Services,Solstice Inc Sales,DE,AU,Financial,Consumer,Banks,Retail,Low,International,Operational,No,31
1ZYEAZIC,G0V3RQIC,YMPB56,3FR31Y,1347.15,EUR,2023-09-25,COVE,Northwind Pte Services Trading,Meridian SA Holdings Travel,Northwind Pte Services,Meridian SA Holdings,DE,GB,Financial,Consumer,Banks,Food,Medium,EMEA,Operational,No,32
1ZYEAZIC,G0V3RQIC,YMPB56,3FR31Y,6612.98,EUR,2023-08-27,CLRG,Northwind Pte Services Trading,Meridian SA Holdings Travel,Northwind Pte Services,Meridian SA Holdings,DE,GB,Financial,Consumer,Banks,Food,Medium,EMEA,Operational,No,32
1ZYEAZIC,G0V3RQIC,YMPB56,3FR31Y,3462.54,EUR,2023-09-21,CLRG,Northwind Pte Services Trading,Meridian SA Holdings Travel,Northwind Pte Services,Meridian SA Holdings,DE,GB,Financial,Consumer,Banks,Food,Medium,EMEA,Operational,No,32
1ZYEAZIC,G0V3RQIC,YMPB56,3FR31Y,1522.84,EUR,2023-09-10,COVE,Northwind Pte Services Trading,Meridian SA Holdings Travel,Northwind Pte Services,Meridian SA Holdings,DE,GB,Financial,Consumer,Banks,Food,Medium,EMEA,Operational,No,32
1ZYEAZIC,G0V3RQIC,YMPB56,3FR31Y,2155.92,EUR,2023-09-02,INDA,Northwind Pte Services Trading,Meridian SA Holdings Travel,Northwind Pte Services,Meridian SA Holdings,DE,GB,Financial,Consumer,Banks,Food,Medium,EMEA,Operational,No,32
NSUOVD8S,CSBI79P6,OS61BX,0J1HG9,17134.88,EUR,2023-03-14,CLRG,Harbor Inc Services Holdings,Solstice Inc Trading Travel,Harbor Inc Services,Solstice Inc Trading,DE,JP,Communications,Consumer,Internet,Retail,Low,International,Operational,No,33
